Run ID,Lead ID,Brand,Evidence Type,Source,Finding
N5K-20260814-235,N5K-0237,Zaboroff / Заборофф,Legal/financial,https://companies.rbc.ru/id/1177746882840-ooo-zaboroff/,Действующая компания; ИНН 9709008831; ОГРН 1177746882840; собственник и гендиректор Каширин Олег Вячеславович; 18 сотрудников; выручка 46 172 000 ₽ за 2025 год
N5K-20260814-235,N5K-0237,Zaboroff / Заборофф,Signal,https://hh.ru/vacancy/129646446,"B2B не развит; исходящие продажи отсутствуют как система; задача — перестроить продажи и запустить B2B-направление"
N5K-20260814-235,N5K-0237,Zaboroff / Заборофф,Contact,https://www.zaboroff.ru/,Официальный сайт подтверждает основателя Каширина Олега Вячеславовича и телефон +7 (495) 121-45-91
N5K-20260814-235,N5K-0238,Jungle Story / Икстеншн,Legal/brand,https://companies.rbc.ru/trademark/721003/jungle-story/,Торговая марка Jungle Story принадлежит ООО «ИКСТЕНШН»
N5K-20260814-235,N5K-0238,Jungle Story / Икстеншн,Legal/financial,https://companies.rbc.ru/alphabetical-catalog/companies/i-k/4/,ООО «ИКСТЕНШН»; ИНН 7726428342; ОГРН 1187746392855; гендиректор Сорочинский Илья Юрьевич; выручка около 28 174 000 ₽
N5K-20260814-235,N5K-0238,Jungle Story / Икстеншн,Signal,https://hh.ru/vacancy/129322434,"Задача — построить и масштабировать продажи через retail, B2B, HoReCa и корпоративные каналы; P&L по каналам и построение команды"
N5K-20260814-235,N5K-0238,Jungle Story / Икстеншн,Contact,https://junglestory.ru/,Официальный сайт бренда содержит форму связи и официальные соцсети
N5K-20260814-235,N5K-0239,Атмосферика,Legal/financial,https://companies.rbc.ru/id/1127847550962-ooo-atmosferika/,Действующая компания; ИНН 7814551360; ОГРН 1127847550962; собственник и гендиректор Гайдучек Дмитрий Владимирович; выручка 421 033 000 ₽ за 2025 год
N5K-20260814-235,N5K-0239,Атмосферика,Scale,https://b2b.house/company/OOO-ATMOSFERIKA_4b95516a-65cc-4d4a-abd7-27a37846860f/,33 сотрудника за 2025 год; выручка 421 033 000 ₽; прибыль 10 991 000 ₽
N5K-20260814-235,N5K-0239,Атмосферика,Signal,https://hh.ru/vacancy/129991530,"Задача — запустить и масштабировать направление, построить продажи с нуля, сформировать команду, CRM, KPI и unit-экономику"
N5K-20260814-235,N5K-0239,Атмосферика,Contact,https://atmospherica.ru/,Официальный сайт: info@atmospherica.ru и форма связи
