Дата,Компания,Событие,Сигнал,Балл,Почему интересно,Источник,Ссылка,Статус
2026-05-30T07:59:34+00:00,target=,"Чистый убыток Почты России в первом квартале снизился в 2,7 раза - Marketpower.pro",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMipgFBVV95cUxPZmhyQTExdUJvd2hLdnliZmlXbDc0MndkcmdpRlBWdmo3VTEzRXoyYlRsMXJlXzBnSlJSaDVpZjhFcDhqU2E3MlAyOWNjc0JLZlUyak9tYWpSMWJtc2tHX1Z2aXItOXZRQmpfbFJqREJPd0Jyb2dyM3licFdXOWF4dy1CV1pNZ00tM0xqZm9FdFV4M2ZXNmZRMm9KSVBING9kYWZTY0NB?oc=5,new
2026-05-30T07:00:00+00:00,target=,ТНС энерго зафиксировала чистый убыток в первом квартале 2026 года - Финансы Mail,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMisAFBVV95cUxNeWJNRzNQSUhsLU43T0s2c0RiaEdzUlUwZjF4QXRMZVZQU2F3bmY2Qkw5ZnNydVdvVWFLUUlYTkp3dEVoTktCN250ZDFtdGplQkUxd0NEdHR1YXB6QklHOFhaMXUwZWtkRjZDUEltQVpfTWNTZVdjb1VpNmVsS2lWWjJQVEJUMl80em5SZkttNDJSRm91bGx2V1Q3R3VtM205bVZscUZCN3YxaUFuWG41bw?oc=5,new
2026-05-29T07:00:00+00:00,Почта России,«Почта России» втрое сократила чистый убыток в I квартале 2026 года - Ведомости,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMikAFBVV95cUxNSndSY3Z1ZVgzVFItd3RjSlRDQUJLbkVQeXVudEVseDR6bjNrOGRIOHJUZmptZm9VZVB6cm84MTMwa0RieHJfQVFFcHQ1QWlqb1FrTUV4YmFZZlhidmdTX1dIRGVVaFppT0xZWUpzeC1nU1JoeTNWRV83THJlSTc0emZzSkxLRU4wS1BiTFhnZkM?oc=5,new
2026-05-25T07:00:00+00:00,Ведомости,«Ведомости»: Разработчик российского аналога Microsoft Office проведет массовое сокращение. Чистый убыток компании превысил 4 млрд рублей - theins.ru,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiQ0FVX3lxTE5saFNkZHJXZVBlOUlBLXNjYTFDTG00Y0V3VTdGbllrZDVLQlItWTItZkxMcWVJUzZHeGRxempQTmdYRmM?oc=5,new
2026-04-30T07:00:00+00:00,М.Видео,Чистый убыток «М.Видео» вырос в 3 раза до 63 миллиардов. Выручка упала на 28% - БИЗНЕС Online — Новости Казани,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1VQUFnZmV6dTY2aVd5NkdfUldXYVN4Y2IxaVVMS3pkN3pfVXlVZUdTRGxQR3gybDQ5QTFXX2d2NTg0N095c3ZGUmQ3NnJIZG01LVE?oc=5,new
2026-04-18T07:00:00+00:00,Камаз,«Камаз» получил чистый убыток по МСФО впервые за шесть лет - Ведомости,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMikAFBVV95cUxPckFkVHVYbjZaMTNfZW16bnlNWFFiV1NQVklsaWtBMVdBczNTcHJ2endLd2NfWF9zVHN3U3RLaUpNVUN5VTc4THFaX0UtM1NmSm1CZlZRYVZ2dmZ4NTNtOUl5bGZuZHI1S1VqR2UzRG9KZjliQWhhRTJxVHRTUW5zTE50T0V5SFFvT2xMdllnQjE?oc=5,new
2026-04-16T07:00:00+00:00,Сегежа Групп,"""Сегежа Групп"" сокращает долг на 54%, несмотря на снижение выручки | IF | 16.04.2026 - InvestFuture",revenue_decline,40,Найден сигнал «revenue_decline»: снижение выручки.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMirwFBVV95cUxPQ2pDd3l3UDNGNWdVRy1hSnRUWnRXTnZGRnBTdGo4N1Q0UmVHUy1ZcDRnemJ2dFFnaTV6eUhPRGNzdTVUUHF4ckVKLWI4TTlEV2N0SWxkZFEtWE9nTVdFREFRSmUzbVdoYXRERWoyTG9aaFNNbFJTRnVhNkIxbXJBUGJTX0dTbVlrcEswendDQVlkSUJhTUY2TXRJaXp0bThZZG12YmJ2bWpwRXJ2U2tZ?oc=5,new
2026-04-13T07:00:00+00:00,target=,LVMH зафиксировал снижение выручки в первом квартале - FashionNetwork Россия,revenue_decline,40,Найден сигнал «revenue_decline»: снижение выручки.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMipgFBVV95cUxOLXdkRUV5c3VpTDYzQWZkXzF6WDlSVlBMSndKMjF5ajdLNDlMb3dWOXpvOHJsTlpoWUJEZ1VGYWM1MDZLYWNfdWpXUGNfWmpCY3JybGt6S3hjcXh3MHBfZEJEcEppRmZEcGIyak8yUmllalRPZDNWei1GcUd3VldULTVZWGtYUDliY3Q0aXIzLTFaTXlESi1qazdBQ0JRYzFjRGJmTW1n?oc=5,new
2026-04-13T07:00:00+00:00,target=,"TikTok в России увеличил чистый убыток в 4,5 раза - profashion.ru",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMilgFBVV95cUxPRmhHdWhPb1dkNWRjT2Y0UTA0elhvN0ZXNERJa2VEUXlIRjdRWGpscXg4THdDcWswcUVCTVJmbS1GZVNULWJDdDkwN1RYWmJVZ2NEQ1JjYjljbDU4M1dhaFI0MzhNcVdRNkNnOE5tek5Fa211ZmRoNnJVRnY4b2xybEJjaXNUQ2FxamZfaVd6UWFTbEwyYkE?oc=5,new
2026-04-12T07:00:00+00:00,Содружество-Соя,Чистый убыток «Содружество-Соя» превысил миллиард - Зерно Он-Лайн,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiP0FVX3lxTE4yajVpTGMyUTZkRGVSNENHWFRodmhNWDRQUm5rYktXTG52T2R5aXBzZ3p5ZkgySmlRMmhabWZUbw?oc=5,new
