Evidence ID,Lead ID,Brand,Evidence Type,Evidence Date,Title,Summary,Source Name,Source URL,What It Confirms,Reliability,Checked At
E-001,GRM-001,SAFDECOR,юридические данные,2026-07-03,Карточка ООО САФДЕКОР,ИНН ОГРН собственник директор выручка и статус,РБК Компании,https://companies.rbc.ru/id/1221600008035-obschestvo-s-ogranichennoj-otvetstvennostyu-safdekor/,Юрлицо масштаб собственник,HIGH,2026-07-20
E-002,GRM-001,SAFDECOR,запуск производства,2026-07-18,Локальное производство ПВХ-плёнки,Компания заявляет запуск локального производства как альтернативы импорту,Официальный сайт SAFDECOR,https://safdecor.ru/,Бизнес-сигнал и контакты,HIGH,2026-07-20
E-003,GRM-002,STACK / e-commerce Ильи Батталова,вакансия,2026-02-20,COO для масштабирования e-commerce,Рост с 124 до 500+ млн; P&L закупки логистика KPI,HH,https://hh.ru/vacancy/130258814,Прямой S1 сигнал и контакт,HIGH,2026-07-20
E-004,GRM-002,STACK / e-commerce Ильи Батталова,юридические данные,2026-04-01,Карточка ИП Батталова,ИНН ОГРНИП регион и действующий статус,РБК Компании,https://companies.rbc.ru/persons/ogrnip/321385000043966-battalov-ilya-maratovich/,Точное ИП,HIGH,2026-07-20
E-005,GRM-003,Авталон,финансовые данные,2026-07-07,Карточка ООО АВТАЛОН,Выручка 378.694 млн прибыль 24.905 млн собственник Волков,РБК Компании,https://companies.rbc.ru/id/1227700260985-ooo-avtalon/,Масштаб и LPR,HIGH,2026-07-20
E-006,GRM-004,Новотерская / Велнесс Фонтейн,сайт,2026-07-20,Официальные дистрибьюторы Новотерской,Сайт связывает бренд с ООО Велнесс Фонтейн и публикует телефон и email,Официальный сайт Новотерской,https://novoterskaya.ru/,Связь бренда и юрлица контакты,HIGH,2026-07-20
E-007,GRM-004,Новотерская / Велнесс Фонтейн,финансовые данные,2026-07-20,Старая карточка Growth Radar,Снижение выручки 78.7% и данные собственника,data/company_pipeline.csv,repository:data/company_pipeline.csv,Финансовый сигнал и LPR,MEDIUM,2026-07-20
E-008,GRM-005,ECONEX,финансовые данные,2026-06-02,Карточка ТД ЭКОНЕКС,Выручка 246.8 млн прибыль 23.701 млн,RБК Компании,https://companies.rbc.ru/id/1143443020247-ooo-torgovyij-dom-ekoneks/,Масштаб и динамика,HIGH,2026-07-20
E-009,GRM-005,ECONEX,контакт,2026-07-20,Контакты команды ECONEX,Публичные контакты генерального технического и коммерческого руководителей,Официальный сайт ECONEX,https://econex.ru/contacts/,LPR и маршруты,HIGH,2026-07-20
E-010,GRM-006,ПРОФЛИСТ МАРКЕТ,финансовые данные,2026-06-23,Карточка ПРОФЛИСТ МАРКЕТ,Рост выручки до 626.498 млн и собственник Бодров,РБК Компании,https://companies.rbc.ru/id/1244800002424-ooo-proflist-market/,Масштаб динамика и LPR,HIGH,2026-07-20
E-011,GRM-006,ПРОФЛИСТ МАРКЕТ,масштабирование,2026-07-20,Складская сеть ПРОФЛИСТ МАРКЕТ,Пять действующих складов и два анонсированных; телефон email и форма,Официальный сайт,https://proflistm.com/,S2 сигнал и контакты,HIGH,2026-07-20
E-012,GRM-007,STILMA,юридические данные,2026-07-02,Карточка ЛИБЕРТИ ДРАЙВ,Юрлицо владеет маркой STILMA; выручка 509.458 млн; собственник Багиров,РБК Компании,https://companies.rbc.ru/id/1227700086437-obschestvo-s-ogranichennoj-otvetstvennostyu-liberti-drajv/,Юрлицо масштаб и LPR,HIGH,2026-07-20
E-013,GRM-008,Алтай Рестарт,юридические данные,2026-05-25,Карточка ГРАНД-КРИО АЛТАЙ,ИНН ОГРН собственник Шуппо сотрудники и финансовые ориентиры,РБК Компании,https://companies.rbc.ru/id/1192225043680-obschestvo-s-ogranichennoj-otvetstvennostyu-grand-krio-altaj/,Юрлицо масштаб и LPR,HIGH,2026-07-20
E-014,GRM-008,Алтай Рестарт,сайт,2026-07-20,Курорт Алтай Рестарт,Премиальный курорт с гостиницей SPA медициной рестораном и корпоративным отдыхом,Официальный сайт,https://altay-restart.ru/,Бизнес-модель и сигнал,HIGH,2026-07-20
E-015,GRM-008,Алтай Рестарт,контакт,2026-07-20,Контакты курорта,Телефон email форма и Telegram,Официальный сайт,https://altay-restart.ru/contacts,Практический маршрут,HIGH,2026-07-20
E-016,GRM-009,Новые технологии печати упаковки,финансовые данные,2026-07-07,Карточка компании,Выручка 16.844 млн прибыль 308 тыс совладелец и директор Точёнов,РБК Компании,https://companies.rbc.ru/id/1127746654430-ooo-novyie-tehnologii-pechati-upakovki/,Масштаб LPR и динамика,HIGH,2026-07-20
E-017,GRM-009,Новые технологии печати упаковки,контакт,2026-07-20,Контакты компании,Два телефона email и адрес,Официальный сайт,https://printing-technologies.ru/contact/,Маршрут связи,HIGH,2026-07-20
E-018,GRM-010,Семаргл,юридические данные,2026-07-20,Карточка ООО СЕМАРГЛ,ИНН ОГРН директор учредители и финансовые данные 2022,РБК Компании,https://companies.rbc.ru/id/1099847019580-ooo-semargl/,Юрлицо масштаб и LPR,MEDIUM,2026-07-20
E-019,GRM-010,Семаргл,автоматизация,2026-07-20,О компании Семаргл,Российская разработка и производство систем автоматизации складской логистики,Официальный сайт,https://semargl.pro/company/,Бизнес-контекст и контакт,HIGH,2026-07-20
E-020,GRM-010,Семаргл,контакт,2026-07-20,Контакты Семаргл,Телефон email и дополнительные открытые контакты,Официальный сайт и Companium,https://semargl.pro/company/; https://www.companium.ru/id/1099847019580-semargl,Маршруты связи,MEDIUM,2026-07-20
E-021,GRM-011,ET.LASER,юридические данные,2026-07-20,Карточка ООО ЕТ-ЛАЗЕР,ИНН ОГРН статус выручка прибыль участники и директор,РБК Компании,https://companies.rbc.ru/id/1197746162525-obschestvo-s-ogranichennoj-otvetstvennostyu-et-lazer/,Юрлицо масштаб собственники и LPR,HIGH,2026-07-20
E-022,GRM-011,ET.LASER,партнёрская программа,2026-07-20,Партнёрство ET.LASER,Компания развивает масштабируемую партнёрскую модель; опубликованы телефон email и формы,Официальный сайт ET.LASER,https://et-laser.ru/partnership,S2 сигнал и маршруты связи,HIGH,2026-07-20
E-023,GRM-012,AldanDev,юридические и финансовые данные,2026-07-20,Карточка ООО АЛДАНДЕВ,ИНН ОГРН директор выручка и убыток,Saby,https://saby.ru/profile/9726056391-770701001,Юрлицо масштаб и LPR,MEDIUM,2026-07-20
E-024,GRM-012,AldanDev,сайт,2026-07-20,Команда и направления AldanDev,Сайт описывает venture studio и публикует телефон email и форму,Официальный сайт AldanDev,https://aldandev.com/,Бизнес-контекст и контакты,HIGH,2026-07-20
E-025,GRM-013,УЗЕЛ СИЛА,юридические и финансовые данные,2026-07-20,Карточка ООО СИЛА-ЦЕНТР,ИНН ОГРН выручка штат собственник и директор,Точка,https://check.tochka.com/company/1126312000011/,Юрлицо масштаб и LPR,MEDIUM,2026-07-20
E-026,GRM-013,УЗЕЛ СИЛА,масштабирование,2026-07-20,Партнёрская и дилерская сеть УЗЕЛ СИЛА,Компания приглашает дилеров строителей и проектные организации; опубликованы прямые контакты,Официальный сайт УЗЕЛ СИЛА,https://uzel-sila.ru/о-компании/,S2 сигнал и контакты,HIGH,2026-07-20
