Lead ID,Evidence ID,Brand,Evidence Type,Evidence Date,Title,Summary,Source Name,Source URL,What It Confirms,Reliability,Checked At,Run ID,Claim,Source,Source Date,Verified At,Confidence,Notes,Fact,Source Class
GRM-001,E-001,SAFDECOR,юридические данные,2026-07-03,Карточка ООО САФДЕКОР,ИНН ОГРН собственник директор выручка и статус,РБК Компании,https://companies.rbc.ru/id/1221600008035-obschestvo-s-ogranichennoj-otvetstvennostyu-safdekor/,Юрлицо масштаб собственник,HIGH,2026-07-20,,,,,,,,,
GRM-001,E-002,SAFDECOR,запуск производства,2026-07-18,Локальное производство ПВХ-плёнки,Компания заявляет запуск локального производства как альтернативы импорту,Официальный сайт SAFDECOR,https://safdecor.ru/,Бизнес-сигнал и контакты,HIGH,2026-07-20,,,,,,,,,
GRM-002,E-003,STACK / e-commerce Ильи Батталова,вакансия,2026-02-20,COO для масштабирования e-commerce,Рост с 124 до 500+ млн; P&L закупки логистика KPI,HH,https://hh.ru/vacancy/130258814,Прямой S1 сигнал и контакт,HIGH,2026-07-20,,,,,,,,,
GRM-002,E-004,STACK / e-commerce Ильи Батталова,юридические данные,2026-04-01,Карточка ИП Батталова,ИНН ОГРНИП регион и действующий статус,РБК Компании,https://companies.rbc.ru/persons/ogrnip/321385000043966-battalov-ilya-maratovich/,Точное ИП,HIGH,2026-07-20,,,,,,,,,
GRM-003,E-005,Авталон,финансовые данные,2026-07-07,Карточка ООО АВТАЛОН,Выручка 378.694 млн прибыль 24.905 млн собственник Волков,РБК Компании,https://companies.rbc.ru/id/1227700260985-ooo-avtalon/,Масштаб и LPR,HIGH,2026-07-20,,,,,,,,,
GRM-004,E-006,Новотерская / Велнесс Фонтейн,сайт,2026-07-20,Официальные дистрибьюторы Новотерской,Сайт связывает бренд с ООО Велнесс Фонтейн и публикует телефон и email,Официальный сайт Новотерской,https://novoterskaya.ru/,Связь бренда и юрлица контакты,HIGH,2026-07-20,,,,,,,,,
GRM-004,E-007,Новотерская / Велнесс Фонтейн,финансовые данные,2026-07-20,Старая карточка Growth Radar,Снижение выручки 78.7% и данные собственника,data/company_pipeline.csv,repository:data/company_pipeline.csv,Финансовый сигнал и LPR,MEDIUM,2026-07-20,,,,,,,,,
GRM-005,E-008,ECONEX,финансовые данные,2026-06-02,Карточка ТД ЭКОНЕКС,Выручка 246.8 млн прибыль 23.701 млн,RБК Компании,https://companies.rbc.ru/id/1143443020247-ooo-torgovyij-dom-ekoneks/,Масштаб и динамика,HIGH,2026-07-20,,,,,,,,,
GRM-005,E-009,ECONEX,контакт,2026-07-20,Контакты команды ECONEX,Публичные контакты генерального технического и коммерческого руководителей,Официальный сайт ECONEX,https://econex.ru/contacts/,LPR и маршруты,HIGH,2026-07-20,,,,,,,,,
GRM-006,E-010,ПРОФЛИСТ МАРКЕТ,финансовые данные,2026-06-23,Карточка ПРОФЛИСТ МАРКЕТ,Рост выручки до 626.498 млн и собственник Бодров,РБК Компании,https://companies.rbc.ru/id/1244800002424-ooo-proflist-market/,Масштаб динамика и LPR,HIGH,2026-07-20,,,,,,,,,
