Lead ID,Brand,Legal Name,INN,OGRN / OGRNIP,Legal Status,Region,City,Segment,Subsegment,Website,Company Description,Company Size,Employee Estimate,Revenue,Profit,Financial Period,Revenue Source,Revenue Confidence,Signal Level,Signal Summary,Signal Date,Signal Source,News Context,Business Context,Why Company Is Selected,Consulting Hypothesis,Potential Product,Owner,Founder,CEO,LPR,LPR Role,LPR Source,Primary Phone,Primary Email,Telegram,VK,HH Contact,Contact Form,Other Contact,Contact Type,Contact Source,Number Of Contacts Found,Current Stage,Final Quick Status,Attempts,Last Action,Last Meaningful Change,Blocker,Next Action,Exclusion Reason,Added At,Updated At,Run ID
GRM-001,SAFDECOR,ООО «САФДЕКОР»,1683002806,1221600008035,Действует,Республика Татарстан,с. Большие Кабаны,Производство,ПВХ-плёнки и декоративные покрытия,https://safdecor.ru/,Российский производитель ПВХ-плёнки и локальная альтернатива импорту,Малое предприятие,3,37092000,143000,2024,РБК Компании,HIGH,S2,Запуск локального производства и выход на рынок; рост выручки 27.88%,2026-07-18,https://safdecor.ru/; https://companies.rbc.ru/id/1221600008035-obschestvo-s-ogranichennoj-otvetstvennostyu-safdekor/,Импортозамещение материалов для мебельной и интерьерной индустрии,Молодое производство проходит этап вывода продукта и построения B2B-продаж,Компания запускает локальное производство и растёт; на этом этапе критичны дилерская модель CRM и коммерческая аналитика,Диагностика B2B-продаж и дорожная карта дилерской сети и аналитики,Диагностика коммерческой системы,Миннегалиев Хамит Минневалиевич,Миннегалиев Хамит Минневалиевич,Евсеев Андрей Алексеевич,Миннегалиев Хамит Минневалиевич,Собственник 76%,РБК Компании,+7 (843) 208-11-11,op@safdecor.ru,https://t.me/safdecor,,,https://safdecor.ru/,,Корпоративный маршрут и Telegram бренда,Официальный сайт SAFDECOR,3,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Восстановлена карточка; проверены юрлицо собственник масштаб и контакты,2026-07-20T16:19:00+03:00,,Во второй итерации подготовить отраслевой инсайт и обращение собственнику,,2026-07-20T16:19:00+03:00,2026-07-20T16:19:00+03:00,GR-20260720-001
GRM-002,STACK / e-commerce Ильи Батталова,ИП Батталов Илья Маратович,380120315900,321385000043966,Действует,Удмуртская Республика,Байдалино,E-commerce,Маркетплейсы Ozon/Wildberries,,E-commerce бизнес собственника на маркетплейсах,Заявленный средний оборот,UNKNOWN,124000000,,Заявленный текущий масштаб,Вакансия HH — данные собственника,MEDIUM,S1,Собственник ищет COO для роста с 124 млн до 500+ млн с P&L по SKU закупками логистикой и KPI,2026-02-20,https://hh.ru/vacancy/130258814; https://companies.rbc.ru/persons/ogrnip/321385000043966-battalov-ilya-maratovich/,Рост через Ozon и запуск Wildberries,Прямо сформулирована задача масштабирования маржинальности и систематизации управления,Собственник публично описал цель роста и конкретные задачи по P&L ассортименту закупкам логистике и KPI,Проектная диагностика e-commerce системы и 90-дневная дорожная карта,Система управления и настройка P&L,Батталов Илья Маратович,Батталов Илья Маратович,Батталов Илья Маратович,Батталов Илья Маратович,Собственник / ИП,HH и РБК Компании,,,,,https://hh.ru/vacancy/130258814,,,Прямой маршрут через вакансию собственника,HH,1,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждены ИП ИНН owner-first сигнал и HH-маршрут,2026-07-20T16:19:00+03:00,,Во второй итерации подготовить обращение как консультанта не как соискателя,,2026-07-20T16:19:00+03:00,2026-07-20T16:19:00+03:00,GR-20260720-001
GRM-003,Авталон,ООО «АВТАЛОН»,7743380595,1227700260985,Действует,Москва,Москва,E-commerce,Интернет-торговля и автокомпоненты,,Интернет-торговля; дополнительные виды деятельности включают автокомпоненты,Среднее,UNKNOWN,378694000,24905000,2025,РБК Компании,HIGH,S3,Выручка выросла с 17.16 млн до 378.69 млн за год; гипотеза запроса требует проверки,2026-07-07,https://companies.rbc.ru/id/1227700260985-ooo-avtalon/,Резкое масштабирование интернет-торговли,Рост более чем в 20 раз создаёт риск разрыва между оборотом процессами аналитикой и структурой,Компания за год выросла с 17.16 до 378.69 млн при положительной прибыли; вероятна потребность в пересборке процессов и аналитики,Экспресс-диагностика управляемости роста: P&L воронка закупки команда CRM,Аудит управляемости и стратегия роста,Волков Константин Георгиевич,Волков Константин Георгиевич,Волков Константин Георгиевич,Волков Константин Георгиевич,Собственник и генеральный директор,РБК Компании,,,,,,,,,,0,LPR IDENTIFIED,НУЖНА ДОПРОВЕРКА,1,Подтверждены юрлицо ИНН финансы и собственник; контакт не подтверждён,2026-07-20T16:19:00+03:00,Не найден проверенный открытый маршрут связи,Найти официальный сайт телефон email HH или публичный профиль собственника,,2026-07-20T16:19:00+03:00,2026-07-20T16:19:00+03:00,GR-20260720-001
GRM-004,Новотерская / Велнесс Фонтейн,ООО «ВЕЛНЕСС ФОНТЕЙН»,7725591794,1067761262117,Действует,Москва,Москва,FMCG,Минеральная вода и дистрибуция,https://novoterskaya.ru/,Официальный дистрибьютор бренда «Новотерская»,Среднее,UNKNOWN,466816000,80206000,2025 / ранее сохранённая карточка,data/company_pipeline.csv; официальный сайт,MEDIUM,S2,Ранее зафиксировано снижение выручки 78.7%; сайт подтверждает юрлицо и действующие каналы,2026-07-20,https://novoterskaya.ru/; data/company_pipeline.csv,Бренд развивает фирменную розницу и несколько каналов дистрибуции,Сильное изменение выручки и несколько юрлиц создают гипотезу о пересборке коммерческой модели,Резкое снижение выручки при продолжающихся продажах и фирменной рознице указывает на задачу по экономике каналов и ассортименту,Диагностика каналов продаж и P&L по продуктам и каналам,Диагностика коммерческой системы,Изибаев Андрей Алексеевич,Изибаев Андрей Алексеевич,Изибаев Андрей Алексеевич,Изибаев Андрей Алексеевич,Собственник / руководитель по сохранённой карточке,data/company_pipeline.csv,+7 (495) 133-59-41,oper@kmv-m.ru,,,,https://novoterskaya.ru/,sales@wfpremium.ru; zavod@novoterskaya.ru,Корпоративный маршрут с просьбой передать собственнику,Официальный сайт Новотерской,4,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждена связь бренда и юрлица; найден телефон и три email,2026-07-20T16:19:00+03:00,,Во второй итерации перепроверить финансовый период и подготовить обращение,,2026-07-20T16:19:00+03:00,2026-07-20T16:19:00+03:00,GR-20260720-001
GRM-005,ECONEX,ООО «ТОРГОВЫЙ ДОМ «ЭКОНЕКС»,3459011235,1143443020247,Действует,Волгоградская область,Волгоград,Производство,Промышленное светодиодное освещение,https://econex.ru/,Производитель промышленного освещения с региональной сетью,Среднее,UNKNOWN,246800000,23701000,2025,РБК Компании,HIGH,S2,Выручка снизилась с 359.3 млн до 246.8 млн; широкая региональная сеть и проектные продажи,2026-07-20,https://companies.rbc.ru/id/1143443020247-ooo-torgovyij-dom-ekoneks/; https://econex.ru/contacts/,Региональная сеть и проектные продажи в промышленном B2B,Падение выручки на фоне сложной региональной структуры создаёт запрос на эффективность продаж,Выручка снизилась примерно на треть при работе во многих регионах; есть повод проверить воронку и эффективность территорий,Диагностика проектных продаж региональной воронки KPI и аналитики,Аудит маркетинга и продаж,,,Малюк Вячеслав,Малюк Вячеслав,Генеральный директор,Официальный сайт ECONEX,+7 (8442) 72-77-72 доб. 103,vm@econex.ru,,,,https://econex.ru/contacts/,cto@econex.ru; hos@econex.ru; info@econex.ru; 8 800 500-34-97,Прямой публичный контакт генерального директора,Официальный сайт ECONEX,8,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждены финансы региональная структура и прямые контакты руководителей,2026-07-20T16:19:00+03:00,,Во второй итерации подготовить отраслевой benchmark и обращение директору,,2026-07-20T16:19:00+03:00,2026-07-20T16:19:00+03:00,GR-20260720-001
GRM-006,ПРОФЛИСТ МАРКЕТ,ООО «ПРОФЛИСТ МАРКЕТ»,4800014271,1244800002424,Действует,Липецкая область,с. Ситовка,Оптовая торговля,Профнастил и строительные материалы,https://proflistm.com/,Оптовый поставщик профнастила со складами в нескольких городах,Выше основного диапазона,UNKNOWN,626498000,1311000,2025,РБК Компании,HIGH,S2,Рост выручки с 141.2 млн до 626.5 млн; склады в пяти городах и анонс ещё двух,2026-07-20,https://companies.rbc.ru/id/1244800002424-ooo-proflist-market/; https://proflistm.com/,Складская экспансия по России,Рост более чем в четыре раза и расширение сети при низкой чистой марже,Компания выросла в 4.4 раза и расширяет склады при прибыли 1.3 млн; сильная гипотеза по маржинальности и экономике складов,Диагностика P&L SKU-экономики оборачиваемости и регионального масштабирования,Повышение маржинальности и настройка P&L,Бодров Сергей Сергеевич,Бодров Сергей Сергеевич,Бодров Сергей Сергеевич,Бодров Сергей Сергеевич,Собственник и директор,РБК Компании,+7 903 168-05-19,info@proflistm.com,,,,https://proflistm.com/,,Корпоративный маршрут к собственнику,Официальный сайт ПРОФЛИСТ МАРКЕТ,3,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждены юрлицо собственник рост экспансия и контакты,2026-07-20T16:19:00+03:00,,Во второй итерации подготовить обращение о маржинальности и экономике сети,,2026-07-20T16:19:00+03:00,2026-07-20T16:19:00+03:00,GR-20260720-001
GRM-007,STILMA,ООО «ЛИБЕРТИ ДРАЙВ»,9705165537,1227700086437,Действует,Москва,Москва,E-commerce / FMCG,Бытовая и автохимия,,Юрлицо владеет торговой маркой STILMA; основной ОКВЭД — интернет-торговля,Пограничный / выше целевого,1,509458000,2518000,2025,РБК Компании,HIGH,S3,Рост выручки с 405.2 млн до 509.5 млн; новая торговая марка в 2026; гипотеза требует проверки,2026-07-02,https://companies.rbc.ru/id/1227700086437-obschestvo-s-ogranichennoj-otvetstvennostyu-liberti-drajv/,Развитие торговой марки и e-commerce направления,Высокий оборот при минимальной штатной численности может означать аутсорсинговую модель,Выручка превысила 500 млн и зарегистрирована новая марка при одном сотруднике; нужно проверить реальную структуру и контакты,Проверить потребность в коммерческой аналитике оргструктуре и управлении подрядчиками,Организационная структура и коммерческая аналитика,Багиров Артур Робертович,Багиров Артур Робертович,Багиров Артур Робертович,Багиров Артур Робертович,Собственник и генеральный директор,РБК Компании,,,,,,,,,,0,SIGNAL CONFIRMED,RESERVE,1,Подтверждены товарный знак юрлицо собственник и финансы; контакт не найден,2026-07-20T16:19:00+03:00,Масштаб чуть выше 500 млн; нет подтверждённого сайта и контакта,Проверить связь бренда с сайтом/маркетплейсами и найти маршрут к собственнику,,2026-07-20T16:19:00+03:00,2026-07-20T16:19:00+03:00,GR-20260720-001
GRM-008,Алтай Рестарт,ООО «ГРАНД-КРИО АЛТАЙ»,2222881628,1192225043680,Действует,Алтайский край,Белокуриха,Hospitality / Wellness,Премиальный курорт и превентивная медицина,https://altay-restart.ru/,Премиальный курорт с wellness- и медицинской инфраструктурой,Среднее,10–56,122246000,7353000,2024,РБК Компании — поступления от текущих операций,MEDIUM,S2,Развитие нового премиального курортного бренда гостиничной wellness- и медицинской инфраструктуры,2026-07-20,https://altay-restart.ru/; https://companies.rbc.ru/id/1192225043680-obschestvo-s-ogranichennoj-otvetstvennostyu-grand-krio-altaj/,Запуск комплексного продукта с медициной SPA рестораном и корпоративным отдыхом,Мультипродуктовая модель требует синхронизации маркетинга продаж загрузки и экономики направлений,Компания развивает новый курорт с несколькими центрами прибыли; нужна единая коммерческая модель и аналитика загрузки,Диагностика коммерческой модели сегментации и экономики направлений,Аудит маркетинга и продаж,Шуппо Владимир Петрович,Шуппо Владимир Петрович,Шуппо Владимир Петрович,Шуппо Владимир Петрович,Собственник и генеральный директор,РБК Компании,+7 (800) 707-36-40,sales@altay-restart.ru,ссылка Telegram на официальном сайте,,,https://altay-restart.ru/contacts,+7 905 080-42-77,Официальный корпоративный маршрут и резервный телефон,Официальный сайт; Companium,4,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждены бренд-юрлицо собственник масштаб и контакты,2026-07-20T16:19:00+03:00,,Во второй итерации подготовить обращение о коммерческой модели курорта,,2026-07-20T16:19:00+03:00,2026-07-20T16:19:00+03:00,GR-20260720-001
GRM-009,Новые технологии печати упаковки,ООО «НОВЫЕ ТЕХНОЛОГИИ ПЕЧАТИ УПАКОВКИ»,7708768787,1127746654430,Действует,Москва,Москва,Производство / B2B,Защищённая печать и упаковка,https://printing-technologies.ru/,Полиграфическая компания по защите брендов и упаковки от контрафакта,Малое предприятие,2,16844000,308000,2025,РБК Компании,HIGH,S3,Выручка снизилась с 27.3 млн до 16.8 млн; технологичный B2B-продукт; гипотеза требует проверки,2026-07-07,https://companies.rbc.ru/id/1127746654430-ooo-novyie-tehnologii-pechati-upakovki/; https://printing-technologies.ru/contact/,Рынок защиты брендов и маркировки требует сложных B2B-продаж,Снижение выручки и маленькая команда могут требовать пересборки коммерческой модели,Выручка снизилась примерно на 38% при сложном B2B-продукте; потенциальная задача — сегментация и проектные продажи,Аудит B2B-маркетинга и продаж и план восстановления воронки,Аудит маркетинга и продаж,Точёнов Сергей Юрьевич,Точёнов Сергей Юрьевич,Точёнов Сергей Юрьевич,Точёнов Сергей Юрьевич,Совладелец и директор,РБК Компании,+7 (495) 740-68-69,info@printing-technologies.ru,,,,https://printing-technologies.ru/contact/,+7 (495) 923-01-29,Официальный корпоративный маршрут к совладельцу-директору,Официальный сайт компании,4,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждены юрлицо совладелец-директор финансы и контакты,2026-07-20T16:19:00+03:00,,Во второй итерации подготовить инсайт и обращение по B2B-воронке,,2026-07-20T16:19:00+03:00,2026-07-20T16:19:00+03:00,GR-20260720-001
GRM-010,Семаргл,ООО «СЕМАРГЛ»,7814454694,1099847019580,Действует,Санкт-Петербург,Санкт-Петербург,Производство / Инжиниринг,Автоматизация складской логистики,https://semargl.pro/,Российская компания по автоматизации внутрискладской логистики и производства,Пограничный / выше целевого,UNKNOWN,518936000,13571000,2022,РБК Компании — период устарел,MEDIUM,S3,Развитие российских решений для автоматизации; свежий запрос и масштаб требуют перепроверки,2026-07-20,https://semargl.pro/company/; https://companies.rbc.ru/id/1099847019580-ooo-semargl/,Импортозамещение и автоматизация складской логистики,Сложные проектные продажи и широкий отраслевой охват требуют сильной коммерческой системы,Компания имеет собственную разработку и продаёт сложные проекты; перспективна но свежий финансовый масштаб и триггер не подтверждены,Проверить задачу по проектной воронке сегментации KPI и связке маркетинга с продажами,Диагностика коммерческой системы,Егоров Андрей Александрович и другие участники,,Егоров Андрей Александрович,Егоров Андрей Александрович,Генеральный директор и совладелец,РБК Компании,+7 (812) 702-10-21,info@semargl.pro,,,,https://semargl.pro/,+7 921 882-42-89; ymishenina@semargl.pro,Корпоративный маршрут и дополнительные открытые контакты,Официальный сайт; Companium,4,CONTACT ROUTE FOUND,RESERVE,1,Подтверждены юрлицо директор сайт и контакты; свежие финансы не найдены,2026-07-20T16:19:00+03:00,Финансовые данные относятся к 2022; масштаб немного выше целевого,Обновить финансы и найти свежий бизнес-сигнал,,2026-07-20T16:19:00+03:00,2026-07-20T16:19:00+03:00,GR-20260720-001
